week;rank;nickname;total_score;correct_answers;incorrect_answers
1;1;Frank;4259;5;1
1;2;Mick;4211;5;1
1;3;Tony;3956;5;1
1;4;Peppe;3740;4;2
1;5;Gabriel;3722;5;1
1;6;Rick;3586;4;2
1;7;Cory;3571;4;2
1;8;Sofi;3509;4;2
1;9;Theo;3367;4;2
1;10;Vi;3200;4;2
1;11;Alf;3105;4;2
1;12;Russ;3068;4;2
1;13;Johnny;2951;4;2
1;14;Dick;2721;3;3
1;15;Mike;2518;3;3
1;16;Michl;2414;3;3
1;17;Bernie;1635;2;4
1;18;Kahoot;1576;2;4
1;19;Andy;1283;2;4
1;20;Fred;1196;2;4
1;21;Peter;743;1;5
1;22;Someone;0;0;6
1;23;Walt;0;0;6
2;1;Michl;10485;9;1
2;2;Frank;9968;9;1
2;3;Sofi;8421;8;2
2;4;Mick;8109;8;2
2;5;Theo;7901;7;3
2;6;Fred;7151;7;3
2;7;Dick;6739;7;3
2;8;Peppe;6501;7;3
2;9;Ned;6436;7;3
2;10;Bernie;6141;6;4
2;11;Russ;5958;6;4
2;12;Rick;5812;6;4
2;13;Alf;5735;6;4
2;14;Appy;5618;6;4
2;15;Vi;5442;6;4
2;16;Daniel;4477;6;4
2;17;Teo;4191;5;5
2;18;Cory;4169;5;5
2;19;Andy;3855;4;6
2;20;Roxy;2412;3;7
2;21;Sennie;1482;2;8
3;1;Ned;9169;9;2
3;2;Johnny;7322;8;3
3;3;Vi;6579;8;3
3;4;Rick;6576;8;3
3;5;Sofi;6175;7;4
3;6;Michl;5980;7;4
3;7;????;5725;7;4
3;8;Bernie;5562;7;4
3;9;Peppe;5376;6;5
3;10;Theo;5284;7;4
3;11;Mick;5136;7;4
3;12;Sennie;5062;7;4
3;13;Marco;4516;6;5
3;14;Dick;4309;6;5
3;15;Russ;3794;5;6
3;16;Steve;2952;5;6
3;17;Stew;2482;3;8
3;18;Andy;2173;3;8
3;19;Appy;1977;3;8
3;20;Larry;1797;2;9
4;1;Mike;4864;5;1
4;2;Alf;4798;5;1
4;3;Mick;4758;5;1
4;4;Dick;4751;5;1
4;5;Vi;4736;5;1
4;6;Johnny;4716;5;1
4;7;Theo;4644;5;1
4;8;Frank;4620;5;1
4;9;Davy;4348;5;1
4;10;Cathy;4003;4;2
4;11;Picles;3862;4;2
4;12;Michl;3805;4;2
4;13;Russ;3788;4;2
4;14;Rick;3504;4;2
4;15;Mark;2804;3;3
4;16;Roxy;2699;3;3
4;17;Andy;2635;3;3
4;18;JJ;2623;3;3
4;19;Brunch;0;0;6
5;1;Mick;4746;5;2
5;2;Theo;4728;5;2
5;3;Frank;4686;5;2
5;4;Alf;4684;5;2
5;5;Michl;4232;4;3
5;6;Andy;4102;4;3
5;7;Dick;3712;4;3
5;8;Johnny;3700;4;3
5;9;Davy;3671;4;3
5;10;Russ;2890;3;4
5;11;Roxy;2866;3;4
5;12;Rick;2766;3;4
