ProductKey;ProductSubcategoryKey;EnglishProductCategoryName;FrenchProductCategoryName;SpanishProductCategoryName;WeightUnitMeasureCode;SizeUnitMeasureCode;EnglishProductName;SpanishProductName;FrenchProductName;StandardCost;FinishedGoodsFlag;Color;SafetyStockLevel;ListPrice;Size;SizeRange;Weight;DaysToManufacture;ProductLine;DealerPrice;Class;Style;ModelName;EnglishDescription;FrenchDescription;Status
210;14;Components;Composant;Componente;LB ;CM ;HL Road Frame - Black, 58;;;;TRUE;Black;500;;58;54-58 CM;2,24;1;R ;;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";"Notre cadre en aluminium plus léger et de qualité supérieure fabriqué à partir du tout dernier alliage ; cadre soudé et traité à chaud pour une meilleure résistance. Le résultat d'une conception innovante pour un confort et des performances maximum.";Current
211;14;Components;Composant;Componente;LB ;CM ;HL Road Frame - Red, 58;;;;TRUE;Red;500;;58;54-58 CM;2,24;1;R ;;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";"Notre cadre en aluminium plus léger et de qualité supérieure fabriqué à partir du tout dernier alliage ; cadre soudé et traité à chaud pour une meilleure résistance. Le résultat d'une conception innovante pour un confort et des performances maximum.";Current
212;31;Accessories;Accessoire;Accesorio;;;Sport-100 Helmet, Red;Casco deportivo: 100, rojo;Casque sport 100, rouge;12,0278;TRUE;Red;4;33,6442;;NA;;0;S ;20,1865;;;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Légère, aérée, taille unique, avec une visière amovible.;
213;31;Accessories;Accessoire;Accesorio;;;Sport-100 Helmet, Red;Casco deportivo: 100, rojo;Casque sport 100, rouge;13,8782;TRUE;Red;4;33,6442;;NA;;0;S ;20,1865;;;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Légère, aérée, taille unique, avec une visière amovible.;
214;31;Accessories;Accessoire;Accesorio;;;Sport-100 Helmet, Red;Casco deportivo: 100, rojo;Casque sport 100, rouge;13,0863;TRUE;Red;4;34,99;;NA;;0;S ;20,994;;;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Légère, aérée, taille unique, avec une visière amovible.;Current
215;31;Accessories;Accessoire;Accesorio;;;Sport-100 Helmet, Black;Casco deportivo: 100, negro;Casque sport 100, noir;12,0278;TRUE;Black;4;33,6442;;NA;;0;S ;20,1865;;;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Légère, aérée, taille unique, avec une visière amovible.;
216;31;Accessories;Accessoire;Accesorio;;;Sport-100 Helmet, Black;Casco deportivo: 100, negro;Casque sport 100, noir;13,8782;TRUE;Black;4;33,6442;;NA;;0;S ;20,1865;;;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Légère, aérée, taille unique, avec une visière amovible.;
217;31;Accessories;Accessoire;Accesorio;;;Sport-100 Helmet, Black;Casco deportivo: 100, negro;Casque sport 100, noir;13,0863;TRUE;Black;4;34,99;;NA;;0;S ;20,994;;;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Légère, aérée, taille unique, avec une visière amovible.;Current
218;23;Clothing;Vêtements;Prenda;;;Mountain Bike Socks, M;Calcetines para bicicleta de montaña, M;Chaussettes de VTT, taille M;3,3963;TRUE;White;4;9,5;M;M;;0;M ;5,7;;U ;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;"Combinaison de fibres naturelles et synthétiques ; reste sèche et offre le confort nécessaire.";
219;23;Clothing;Vêtements;Prenda;;;Mountain Bike Socks, L;Calcetines para bicicleta de montaña, G;Chaussettes de VTT, taille L;3,3963;TRUE;White;4;9,5;L;L;;0;M ;5,7;;U ;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;"Combinaison de fibres naturelles et synthétiques ; reste sèche et offre le confort nécessaire.";
